K01116	PLCG1
K01117	sph
K01118	acpD, azoR
K01119	cpdB
K01120	cpdP
K01121	CNP
K01122	ENPP2
K01123	SMaseD
K01124	GDPD2
K01125	NAGPA
K01126	E3.1.4.46, glpQ, ugpQ
K01127	GPLD1
K01128	SMPDL3
K01129	dgt
K01130	E3.1.6.1
K01131	STS
K01132	GALNS
K01133	betC
K01134	ARSA
K01135	ARSB
K01136	IDS
K01137	GNS
K01138	K01138
K01139	spoT
K01141	sbcB, exoI
K01142	E3.1.11.2, xthA
K01143	exo
K01146	xni
K01147	rnb
K01148	PARN, PNLDC1
K01149	TRIR
K01150	endA
K01151	nfo
K01152	isftu1
K01153	hsdR
K01154	hsdS
K01155	E3.1.21.4
K01156	res
K01157	rpnA
K01158	DNASE2
K01159	ruvC
K01160	rusA
K01161	E3.1.25.1
K01163	K01163
K01164	POP1
K01165	RNASEL
K01166	RNASET2
K01167	rnaSA
K01168	RNASE1_2
K01169	rna
K01170	endA
K01171	sar
K01172	RNASE6_7_8
K01173	ENDOG
K01174	nuc
K01175	ybfF
K01176	AMY, amyA, malS
K01177	E3.2.1.2
K01178	SGA1
K01179	E3.2.1.4
K01180	E3.2.1.6
K01181	E3.2.1.8, xynA
K01182	IMA, malL
K01183	E3.2.1.14
K01184	E3.2.1.15
K01185	E3.2.1.17
K01186	NEU1
K01187	malZ
K01188	E3.2.1.21
K01189	GLA
K01190	lacZ
K01191	MAN2C1
K01192	E3.2.1.25, MANBA, manB
K01193	INV, sacA
K01194	TREH, treA, treF
K01195	uidA, GUSB
K01196	AGL
K01197	hya
K01198	xynB
K01199	EGLC
K01200	pulA
K01201	GBA, srfJ
K01202	GALC
K01203	SI
K01204	NAGA
K01205	NAGLU
K01206	FUCA
K01207	nagZ
K01208	cd, ma, nplT
K01209	abfA
K01210	E3.2.1.58
K01212	sacC, levB
K01213	E3.2.1.67
K01214	ISA, treX
K01215	dexB
K01216	bglS
K01217	IDUA
K01218	gmuG
K01219	E3.2.1.81
K01220	E3.2.1.85, lacG
K01222	E3.2.1.86A, celF
K01223	E3.2.1.86B, bglA
K01224	E3.2.1.89
K01225	CBH1
K01226	treC
K01227	ENGASE
K01228	MOGS
K01229	LCT
K01230	MAN1A_C, MNS1_2
K01231	MAN2
K01232	glvA
K01233	csn
K01235	aguA
K01236	treZ, glgZ
K01237	E3.2.1.147
K01238	SUN
K01239	E3.2.2.1
K01240	URH1
K01241	amn
K01242	CD38
K01243	mtnN, mtn, pfs
K01244	MTN
K01245	ADPRH
K01246	tag
K01247	alkA
K01250	rihA
K01251	AHCY, ahcY
K01252	entB, dhbB, vibB, mxcF
K01253	EPHX1
K01254	LTA4H
K01255	CARP, pepA
K01256	pepN
K01257	LNPEP
K01258	pepT
K01259	pip
K01260	RNPEP
K01261	pepA
K01262	pepP
K01264	APE3
K01265	map
K01266	dmpA, dap
K01267	DNPEP
K01268	LAP4
K01269	yhfE
K01270	pepD
K01271	pepQ
K01273	DPEP
K01274	pepV
K01275	CTSC
K01276	DPP7
K01277	DPP3
K01278	DPP4, CD26
K01279	TPP1, CLN2
K01280	TPP2
K01281	pepX
K01282	DAP2
K01283	ACE, CD143
K01284	dcp
K01285	PRCP
K01286	E3.4.16.4
K01288	KEX1
K01290	CPAN
K01291	CPB1
K01292	CPN1
K01293	E3.4.17.4
K01294	CPE
K01295	cpg
K01296	CPM
K01297	ldcA
K01298	CPA2
K01299	E3.4.17.19
K01300	CPB2
K01301	NAALAD
K01302	CPQ
K01303	APEH
K01304	pcp
K01305	iadA
K01306	TRHDE
K01307	GGH
K01308	yqgT
K01309	MINDY1_2
K01310	CTRB
K01311	CTRC
K01312	PRSS1_2_3
K01313	F2
K01314	F10
K01315	PLG
K01316	TMPRSS15, PRSS7
